epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,1794.33,0.24485,0.3044,0.18438,0.82922,0.98422,0.99327,0.9913,0.98146,0.98422,0.99327,0.9913,0.96281,0.16635,0.20847,0.15511,0.51002,0.0004952,0.0004952,0.0004952
78,1817.59,0.24265,0.30192,0.1817,0.83152,0.98118,0.99643,0.99253,0.98211,0.98118,0.99643,0.99253,0.96569,0.16586,0.20984,0.15649,0.50713,0.0004754,0.0004754,0.0004754
79,1840.75,0.24107,0.27647,0.18173,0.82796,0.98427,0.99657,0.99279,0.98091,0.9858,0.99508,0.99279,0.96472,0.17114,0.2144,0.15127,0.51045,0.0004556,0.0004556,0.0004556
80,1863.41,0.23845,0.28083,0.17667,0.8262,0.99043,0.98864,0.99292,0.98332,0.99043,0.98864,0.99292,0.96617,0.17377,0.21565,0.14791,0.51471,0.0004358,0.0004358,0.0004358
81,1884.73,0.23972,0.30987,0.18122,0.82847,0.98111,0.99682,0.99091,0.97878,0.98111,0.99682,0.99091,0.96404,0.17786,0.2199,0.15226,0.51349,0.000416,0.000416,0.000416
82,1907.21,0.23976,0.2807,0.17863,0.82693,0.98397,0.99682,0.99302,0.9828,0.98397,0.99682,0.99302,0.96757,0.16418,0.19675,0.14456,0.50666,0.0003962,0.0003962,0.0003962
83,1928.83,0.23365,0.286,0.17503,0.82432,0.98424,0.99449,0.993,0.98323,0.98887,0.9899,0.993,0.96876,0.1688,0.21965,0.14958,0.51028,0.0003764,0.0003764,0.0003764
84,1951.37,0.23401,0.27011,0.17525,0.82632,0.98734,0.99338,0.99241,0.98026,0.98734,0.99338,0.99241,0.9662,0.17128,0.21575,0.15037,0.5098,0.0003566,0.0003566,0.0003566
85,1975,0.23823,0.28447,0.17658,0.82769,0.98836,0.98885,0.99251,0.98236,0.98836,0.98885,0.99251,0.96763,0.16656,0.20773,0.14366,0.50904,0.0003368,0.0003368,0.0003368
86,1999.08,0.23379,0.26789,0.17184,0.82656,0.98336,0.99682,0.99369,0.98337,0.98336,0.99682,0.99369,0.96544,0.16372,0.20217,0.14269,0.50481,0.000317,0.000317,0.000317
87,2023.01,0.22855,0.28154,0.16795,0.82247,0.98416,0.99522,0.99294,0.98205,0.98416,0.99522,0.99294,0.96711,0.15981,0.21752,0.13839,0.5071,0.0002972,0.0002972,0.0002972
